Season,Player,Team,Pos,name,GSIS_ID,name_orig,name_pos,name_pos_team
2015,A.J. Green,CIN,WR,A.J. Green,00-0027942,A.Green,"A.J. Green, WR","A.J. Green, WR, CIN"
2015,Aaron Dobson,NE,WR,Aaron Dobson,00-0030540,A.Dobson,"Aaron Dobson, WR","Aaron Dobson, WR, NE"
2015,Aaron Rodgers,GB,QB,Aaron Rodgers,00-0023459,A.Rodgers,"Aaron Rodgers, QB","Aaron Rodgers, QB, GB"
2015,Adam Humphries,TB,WR,Adam Humphries,00-0032009,A.Humphries,"Adam Humphries, WR","Adam Humphries, WR, TB"
2015,Adam Thielen,MIN,WR,Adam Thielen,00-0030035,A.Thielen,"Adam Thielen, WR","Adam Thielen, WR, MIN"
2015,Adrian Peterson,MIN,RB,Adrian Peterson,00-0025394,A.Peterson,"Adrian Peterson, RB","Adrian Peterson, RB, MIN"
2015,Ahmad Bradshaw,IND,RB,Ahmad Bradshaw,00-0025637,A.Bradshaw,"Ahmad Bradshaw, RB","Ahmad Bradshaw, RB, IND"
2015,AJ McCarron,CIN,QB,AJ McCarron,00-0031288,A.McCarron,"AJ McCarron, QB","AJ McCarron, QB, CIN"
2015,Akeem Hunt,HOU,RB,Akeem Hunt,00-0031743,A.Hunt,"Akeem Hunt, RB","Akeem Hunt, RB, HOU"
2015,Albert Wilson,KC,WR,Albert Wilson,00-0030669,A.Wilson,"Albert Wilson, WR","Albert Wilson, WR, KC"
2015,Alex Smith,KC,QB,Alex Smith,00-0023436,A.Smith,"Alex Smith, QB","Alex Smith, QB, KC"
2015,Alex Smith,WAS,TE,Alex Smith,00-0023506,A.Smith,"Alex Smith, TE","Alex Smith, TE, WAS"
2015,Alex Tanney,TEN,QB,Alex Tanney,00-0029623,A.Tanney,"Alex Tanney, QB","Alex Tanney, QB, TEN"
2015,Alfred Blue,HOU,RB,Alfred Blue,00-0031075,A.Blue,"Alfred Blue, RB","Alfred Blue, RB, HOU"
2015,Alfred Morris,WAS,RB,Alfred Morris,00-0029141,A.Morris,"Alfred Morris, RB","Alfred Morris, RB, WAS"
2015,Alshon Jeffery,CHI,WR,Alshon Jeffery,00-0029137,A.Jeffery,"Alshon Jeffery, WR","Alshon Jeffery, WR, CHI"
2015,Amari Cooper,OAK,WR,Amari Cooper,00-0031544,A.Cooper,"Amari Cooper, WR","Amari Cooper, WR, OAK"
2015,Ameer Abdullah,DET,RB,Ameer Abdullah,00-0032104,A.Abdullah,"Ameer Abdullah, RB","Ameer Abdullah, RB, DET"
2015,Andre Caldwell,DEN,WR,Andre Caldwell,00-0026237,A.Caldwell,"Andre Caldwell, WR","Andre Caldwell, WR, DEN"
2015,Andre Ellington,ARI,RB,Andre Ellington,00-0030287,A.Ellington,"Andre Ellington, RB","Andre Ellington, RB, ARI"
2015,Andre Holmes,OAK,WR,Andre Holmes,00-0028263,A.Holmes,"Andre Holmes, WR","Andre Holmes, WR, OAK"
2015,Andre Johnson,IND,WR,Andre Johnson,00-0022044,A.Johnson,"Andre Johnson, WR","Andre Johnson, WR, IND"
2015,Andre Roberts,WAS,WR,Andre Roberts,00-0027691,A.Roberts,"Andre Roberts, WR","Andre Roberts, WR, WAS"
2015,Andre Williams,NYG,RB,Andre Williams,00-0031055,A.Williams,"Andre Williams, RB","Andre Williams, RB, NYG"
2015,Andrew Hawkins,CLE,WR,Andrew Hawkins,00-0027918,A.Hawkins,"Andrew Hawkins, WR","Andrew Hawkins, WR, CLE"
2015,Andrew Luck,IND,QB,Andrew Luck,00-0029668,A.Luck,"Andrew Luck, QB","Andrew Luck, QB, IND"
2015,Andrew Quarless,GB,TE,Andrew Quarless,00-0027753,A.Quarless,"Andrew Quarless, TE","Andrew Quarless, TE, GB"
2015,Andrew Turzilli,TEN,WR,Andrew Turzilli,00-0032045,A.Turzilli,"Andrew Turzilli, WR","Andrew Turzilli, WR, TEN"
2015,Andy Dalton,CIN,QB,Andy Dalton,00-0027973,A.Dalton,"Andy Dalton, QB","Andy Dalton, QB, CIN"
2015,Anquan Boldin,SF,WR,Anquan Boldin,00-0022084,A.Boldin,"Anquan Boldin, WR","Anquan Boldin, WR, SF"
2015,Anthony Dixon,BUF,RB,Anthony Dixon,00-0027772,A.Dixon,"Anthony Dixon, RB","Anthony Dixon, RB, BUF"
2015,Anthony Fasano,TEN,TE,Anthony Fasano,00-0024268,A.Fasano,"Anthony Fasano, TE","Anthony Fasano, TE, TEN"
2015,Anthony Sherman,KC,FB,Anthony Sherman,00-0028074,A.Sherman,"Anthony Sherman, FB","Anthony Sherman, FB, KC"
2015,Antone Smith,CHI,RB,Antone Smith,00-0026855,A.Smith,"Antone Smith, RB","Antone Smith, RB, CHI"
2015,Antonio Andrews,TEN,RB,Antonio Andrews,00-0030789,A.Andrews,"Antonio Andrews, RB","Antonio Andrews, RB, TEN"
